ingre,tfidf
마늘,0.1661900145
숙주,0.4180161573
베이컨,0.39851096
팽이버섯,0.390085577
파,0.3
고추,0.2348284971
깨,0.3
양파,0.1779961825
설탕,0.1988409321
굴소스,0.324805669
고추기름,0.4099284038
소금,0.1868218879
통후추,0.3737914353
피쉬소스,0.5053273037
오일,0.4470064368
꿀,0.3
라임,0.4831026055
통마늘,0.374645146
참기름,0.2212654549
물엿,0.3527638124
대파,0.2221390691
월계수잎,0.3807748582
다시마,0.3423593843
소고기,0.3547031204
진간장,0.3235018873
메추리알,0.5138960873
생강,0.3203569104
매실청,0.3012965238
꽈리고추,0.4695921428
육수,0.3894896643
소주,0.4149889868
올리브오일,0.367903268
후추,0.1985568858
머스터드,0.4543384745
바질,0.432613063
파프리카,0.3135602265
셀러리,0.5519825466
치즈,0.4189901137
적양파,0.4520443398
레몬,0.4388183347
토마토,0.3617384354
아보카도,0.466352028
로메인,0.4535420385
오레가노,0.4818446797
레몬즙,0.3547802863
연어,0.4900935598
파슬리,0.4234424707
할라피뇨,0.5025369665
감자,0.3328886585
발사믹,0.4359042446
닭,0.3
칠리소스,0.4442832787
샐러리,0.4712085636
치킨,0.5260339849
통깨,0.2838821547
춘장,0.4902372062
맛술,0.273650057
페페론치노,0.4755135472
흑설탕,0.4399039562
부추,0.3764303506
국간장,0.3286194942
고춧가루,0.2179846391
순두부,0.4941971001
쪽파,0.3664202922
다시팩,0.532859851
계란,0.2884632132
올리고당,0.2952182348
식용유,0.3007339265
고구마,0.4755724668
마요네즈,0.3232473295
오이,0.3311998888
참치,0.4669598378
당근,0.2561982588
맛살,0.4339112649
깻잎,0.3513100698
김,0.3
어린잎채소,0.4575807493
스트링치즈,0.5804605261
크림치즈,0.4125581652
바게트빵,0.5481115171
딸기,0.4914299098
올리브유,0.3452270996
귤,0.3
블루베리,0.4742154458
스팸,0.4909486438
두부,0.3346664749
감자전분,0.4776542654
검은깨,0.6242186773
식초,0.303675916
쫄면,0.4977319846
고추장,0.2679196145
적채,0.4928089388
참깨,0.4375602834
간장,0.2278903854
콩나물,0.4027824297
체다치즈,0.4301209686
로즈마리,0.4649718832
채끝살,0.6116237373
무,0.3
닭다리살,0.4773220907
가래떡,0.5269688977
표고버섯,0.3438632492
청경채,0.4325884268
건고추,0.4502509662
멸치,0.3690174122
어묵,0.4024233797
건새우,0.4970814803
배,0.3
사과,0.3793450505
파슬리가루,0.3943207751
우유,0.3253662711
모짜렐라치즈,0.3970148962
버터,0.2997134667
양송이버섯,0.4028667854
청주,0.3293740208
오이고추,0.5574523076
양조간장,0.4160119326
생강즙,0.4207903562
잣,0.3
대추,0.4483282892
식용색소,0.5608405549
한천,0.6389163109
돼지고기,0.3343834479
풋고추,0.4409225993
밀가루,0.3545670724
양배추,0.3427854167
돈까스소스,0.5069078153
빵가루,0.4027896902
가쓰오부시,0.4808931321
새우,0.3637898237
애호박,0.3678745117
멸치육수,0.4288086964
배추,0.4408264896
부침가루,0.4511532583
레드와인,0.4614741322
생크림,0.3729165766
닭가슴살,0.4028050018
떡,0.3
굴,0.3
앞다리살,0.580083327
사골육수,0.5059095776
김치,0.3890667433
멸치가루,0.5018185433
느타리버섯,0.3962123753
파뿌리,0.4570061038
알배추,0.4833219728
돼지목살,0.5518326747
전분,0.4264185109
꽃소금,0.4971409422
고사리,0.4762721979
양상추,0.3786985306
또띠아,0.4433808479
방울토마토,0.3769218602
숙주나물,0.495959374
튀김가루,0.4399733975
카레가루,0.4594029763
칵테일새우,0.4745849676
밥,0.3
아스파라거스,0.4939884356
옥수수통조림,0.5391511023
새싹채소,0.4892428857
발사믹식초,0.4525005972
스파게티면,0.4466630711
칵테일,0.5405239616
달걀,0.2884045212
배추김치,0.5023276571
된장,0.3347116807
맛소금,0.4899488749
오징어,0.4011128774
도토리묵,0.5304631046
신김치,0.4867481025
식빵,0.4063882784
김밥,0.5162625309
햄,0.3
요거트,0.509937945
파스타면,0.4346003526
파마산,0.3929786824
꼬막,0.5550669049
기름,0.4505813383
미역,0.5252710382
다시다,0.4816737365
케찹,0.336385783
비엔나소시지,0.5133629991
미림,0.3995402078
얼음,0.4839411176
팥,0.3
에스프레소,0.6184994575
아이스크림,0.5889881083
찹쌀,0.4876456291
콩가루,0.5134647966
삼겹살,0.4509675266
묵은지,0.4623421316
들기름,0.3622145976
소면,0.4543174809
깨소금,0.3500620321
김치국물,0.4482013768
사과식초,0.5155064647
콩기름,0.5163978623
초콜릿,0.4439895532
휘핑크림,0.5277622982
바나나,0.4962411133
당면,0.4004140135
비엔나,0.5531309025
라면스프,0.5960209233
라면사리,0.5170637505
야채,0.5179834793
피자치즈,0.4297510419
피자소스,0.5398291193
옥수수콘,0.4720553599
쌈무,0.5265049332
무순,0.4515273876
오리고기,0.5644092807
시럽,0.5182719741
민트,0.519768559
골드키위,0.5904993209
포도,0.5369475976
체리,0.552561312
석류,0.6092717642
우동면,0.4898668195
차돌박이,0.48540798
떡볶이떡,0.459212441
케일,0.5612738383
브로콜리,0.4164875028
연유,0.501525377
스파게티,0.4945652095
피망,0.3790003767
라즈베리,0.5503679372
바닐라빈,0.5415759623
망고,0.5625850307
허브,0.5029279562
배즙,0.4660754344
수박,0.5896985938
닭고기,0.5128486727
가지,0.4441108826
두반장,0.4487049107
치킨스톡,0.4407327017
아몬드슬라이스,0.4969283262
땅콩버터,0.5081426694
화이트와인,0.4288043881
루꼴라,0.4995083373
슬라이스햄,0.4658306772
라면,0.5604011798
황설탕,0.4057817574
감초,0.5057491041
양지머리,0.5967454674
백설탕,0.4874282995
닭날개,0.551730805
새우젓,0.3922487826
청양고춧가루,0.5310095262
강황가루,0.5446992613
새송이버섯,0.3862801399
바지락,0.4563264554
샤프란,0.5327767306
쌀,0.3
쑥갓,0.4419217116
천도복숭아,0.6048786551
판젤라틴,0.5843623971
청포도,0.5790303045
꽃게,0.4921381336
노른자,0.46764732
옥수수,0.4998560941
치커리,0.4422502044
메로,0.7062404468
슬라이스치즈,0.4423479585
날치알,0.5014057933
유자청,0.4942066158
우삼겹,0.5797885835
만두,0.4851855666
액젓,0.4150176375
시금치,0.4405486073
매실,0.4923093386
양송이,0.4597585792
면수,0.5040548983
족발,0.6249688678
국물용멸치,0.5530650445
무청,0.6037869003
사워크림,0.4912323372
목살,0.5461106399
피클,0.4482914021
실파,0.4626415639
바게트,0.5270834667
명란젓,0.5849374577
훈제연어,0.5219213885
핫소스,0.446201043
소시지,0.4460386642
통조림,0.4978844594
순대,0.5143322675
마카로니,0.5380983219
아욱,0.5985664047
낙지,0.5060592418
녹차가루,0.5170156933
돼지고기목살,0.5552022105
플레인요거트,0.4625818591
곤약,0.5259043228
칼국수,0.5380451424
단호박,0.4874478538
캔옥수수,0.5239477244
자색고구마,0.5951652432
마른고추,0.5834575534
호박,0.4106816723
자몽,0.6203374002
탄산수,0.5444399888
애플민트,0.5443520784
고등어,0.5125847319
고수,0.4782961891
돼지고기앞다리살,0.5668641025
파인애플,0.4489350263
박력분,0.352161894
바닐라익스트랙,0.4545701986
베이킹파우더,0.3669062931
사이다,0.5042720781
대패삼겹살,0.5066364608
우엉,0.4791201648
단무지,0.4499770387
닭발,0.6014211298
새송이,0.5105154177
키조개,0.5637144015
상추,0.409684657
칼국수면,0.5105146458
와사비,0.4574915265
슈거파우더,0.4951664461
견과류,0.4836413604
갈치,0.5411735051
포도씨유,0.4276956073
연겨자,0.4349932918
오렌지,0.4703523983
전복,0.5347980272
김가루,0.4570072847
취나물,0.5927533116
다시마물,0.527979863
멸치액젓,0.3946405656
녹두,0.5526384068
메이플시럽,0.5149783209
시나몬가루,0.5399008308
쌈장,0.5245745045
깍두기,0.6358345807
쭈꾸미,0.5053807963
국수,0.4919722693
생강가루,0.3755110651
다시마육수,0.4944688093
장어,0.5595849185
맥주,0.5647811703
두릅,0.6065300279
골뱅이,0.5059771323
모시조개,0.527574017
샐러드,0.4902750029
미나리,0.4316841641
스테이크,0.5094981226
넛맥,0.495836319
스테이크소스,0.4548580078
홍합,0.4872135377
코코아가루,0.4627499321
호두,0.4197256998
시나몬파우더,0.5447744573
베이글,0.4990684177
블랙올리브,0.4530079923
크림,0.5185411808
치즈가루,0.5236082202
밀,0.3
강력분,0.4259328769
이스트,0.4608342269
치킨파우더,0.5248128133
간마늘,0.4180952659
올리브,0.4594391006
전분가루,0.4417285516
까나리액젓,0.4729622037
양파즙,0.4679231296
천일염,0.4453561942
계피가루,0.4980176038
찹쌀가루,0.4571823488
아귀,0.5603530076
파채,0.5048713068
호밀,0.5634334563
들깨가루,0.4214190452
토란,0.5218103989
돈까스,0.5607657678
꼬시래기,0.664983497
바지락살,0.5642191393
세발나물,0.6026931725
냉면육수,0.551304842
키위,0.479007402
슈가파우더,0.4149654192
바닐라,0.4415889822
미더덕,0.5007764662
강황,0.6052247546
모닝빵,0.5005715261
카레,0.5478872478
쌀가루,0.5595219428
쑥,0.3
쥐포,0.6815806294
매생이,0.6468902937
달래,0.5124665262
조개,0.5518741481
멥쌀,0.5912568325
버섯,0.4108443825
땅콩,0.4681529983
샐러드채소,0.5024459049
대게,0.6045693808
연근,0.541341055
배춧잎,0.5345908408
스프링클,0.5976575537
씨겨자,0.4943613879
콜라,0.5598582104
곱창,0.6086701086
젤라틴,0.5619130552
아몬드가루,0.4341076613
우스타소스,0.4956734351
바닐라에센스,0.4936469155
잡채,0.576827099
항정살,0.6284353888
불고기,0.4608724973
고형카레,0.5988700046
만두피,0.5237832683
바질가루,0.463553261
백앙금,0.5630179531
홍초,0.5230381048
생강술,0.4214848252
황태채,0.5569448373
우스터소스,0.4564645822
콩,0.3
국멸치,0.5623254508
팥앙금,0.5537771311
빵,0.5
감,0.3
전분물,0.484878482
멸치다시마,0.5283570013
대구,0.5521371358
코코아파우더,0.4804611605
다크초콜릿,0.4745283408
송이,0.590471688
마시멜로,0.6274395178
잔멸치,0.5612426614
해바라기씨,0.4820865594
아몬드,0.4345753655
피스타치오,0.4830526926
새우살,0.5003750152
갑오징어,0.5475489498
도라지,0.5653152256
커피,0.5122012786
머스터드소스,0.4913427349
화이트초콜릿,0.5395065163
조기,0.626254367
초고추장,0.5021782672
우둔살,0.5830458784
베이킹소다,0.4944869595
